iter	Passed	Remaining
0	2	2472
1	4	2303
2	6	2272
3	8	2235
4	11	2205
5	13	2238
6	15	2246
7	18	2258
8	20	2266
9	23	2287
10	25	2270
11	27	2270
12	29	2259
13	32	2259
14	34	2255
15	36	2255
16	39	2256
17	41	2255
18	43	2250
19	46	2263
20	48	2266
21	51	2273
22	53	2265
23	55	2259
24	57	2255
25	60	2254
26	62	2249
27	64	2247
28	67	2252
29	69	2248
30	71	2246
31	74	2246
32	76	2242
33	78	2239
34	81	2233
35	83	2228
36	85	2222
37	87	2217
38	89	2212
39	92	2215
40	94	2212
41	96	2211
42	99	2212
43	101	2211
44	104	2210
45	106	2209
46	108	2205
47	110	2201
48	113	2202
49	115	2197
50	117	2194
51	120	2192
52	122	2192
53	124	2189
54	127	2185
55	129	2182
56	131	2182
57	134	2179
58	136	2178
59	138	2177
60	141	2175
61	143	2171
62	145	2169
63	148	2168
64	150	2165
65	153	2166
66	155	2163
67	157	2162
68	160	2160
69	162	2159
70	164	2155
71	166	2152
72	169	2151
73	171	2150
74	174	2149
75	176	2146
76	178	2144
77	181	2142
78	183	2142
79	186	2147
80	189	2144
81	191	2145
82	194	2144
83	196	2143
84	198	2141
85	201	2137
86	203	2133
87	205	2128
88	207	2124
89	209	2121
90	212	2119
91	214	2118
92	217	2118
93	219	2117
94	222	2117
95	224	2116
96	227	2114
97	229	2112
98	231	2110
99	234	2107
100	236	2106
101	239	2105
102	241	2104
103	244	2104
104	246	2102
105	248	2099
106	251	2095
107	253	2094
108	256	2092
109	258	2090
110	260	2088
111	263	2086
112	265	2083
113	267	2081
114	270	2080
115	272	2078
116	275	2077
117	277	2077
118	280	2074
119	282	2072
120	285	2071
121	287	2069
122	289	2067
123	292	2067
124	295	2066
125	297	2064
126	300	2063
127	302	2061
128	304	2059
129	307	2058
130	310	2057
131	312	2055
132	314	2052
133	317	2048
134	319	2046
135	321	2043
136	324	2041
137	326	2039
138	328	2037
139	331	2035
140	333	2033
141	336	2033
142	338	2030
143	341	2029
144	343	2027
145	346	2025
146	348	2022
147	350	2020
148	353	2017
149	355	2015
150	358	2013
151	360	2011
152	362	2009
153	365	2007
154	367	2005
155	370	2002
156	372	2000
157	374	1997
158	377	1994
159	379	1991
160	382	1990
161	384	1989
162	387	1990
163	391	1993
164	393	1991
165	395	1988
166	398	1986
167	400	1983
168	402	1981
169	405	1979
170	407	1976
171	410	1975
172	412	1972
173	415	1970
174	417	1968
175	420	1966
176	422	1964
177	425	1962
178	427	1961
179	430	1958
180	432	1956
181	435	1955
182	437	1953
183	440	1951
184	442	1949
185	444	1947
186	447	1945
187	450	1943
188	452	1941
189	455	1940
190	457	1938
191	460	1935
192	464	1941
193	466	1940
194	469	1938
195	471	1935
196	474	1934
197	477	1932
198	479	1929
199	482	1928
200	484	1926
201	487	1924
202	489	1922
203	492	1919
204	494	1917
205	496	1915
206	499	1913
207	502	1911
208	504	1910
209	507	1907
210	509	1904
211	511	1902
212	514	1899
213	516	1897
214	519	1895
215	521	1892
216	523	1890
217	526	1887
218	528	1885
219	531	1883
220	533	1881
221	536	1879
222	538	1876
223	540	1873
224	543	1871
225	545	1869
226	548	1867
227	551	1865
228	553	1863
229	555	1861
230	558	1858
231	561	1858
232	563	1856
233	566	1854
234	569	1852
235	571	1850
236	574	1848
237	576	1846
238	579	1844
239	582	1844
240	585	1843
241	587	1841
242	590	1839
243	593	1837
244	595	1835
245	598	1833
246	600	1831
247	603	1829
248	606	1828
249	608	1826
250	611	1824
251	613	1822
252	616	1819
253	619	1818
254	621	1815
255	624	1813
256	626	1811
257	629	1809
258	631	1807
259	634	1805
260	636	1803
261	639	1801
262	642	1800
263	645	1799
264	647	1796
265	650	1794
266	652	1792
267	655	1789
268	657	1787
269	660	1785
270	662	1783
271	665	1780
272	667	1778
273	670	1777
274	673	1774
275	675	1772
276	678	1770
277	680	1768
278	683	1766
279	685	1763
280	688	1762
281	691	1759
282	693	1757
283	696	1755
284	698	1753
285	701	1751
286	704	1751
287	707	1748
288	709	1746
289	712	1743
290	714	1741
291	717	1738
292	719	1736
293	722	1734
294	724	1732
295	727	1730
296	730	1728
297	732	1726
298	735	1725
299	738	1722
300	741	1720
301	743	1718
302	745	1715
303	748	1713
304	750	1710
305	753	1708
306	756	1706
307	758	1704
308	761	1701
309	763	1700
310	766	1698
311	769	1696
312	771	1694
313	774	1691
314	777	1689
315	780	1688
316	782	1686
317	785	1684
318	788	1682
319	791	1681
320	793	1679
321	796	1677
322	799	1675
323	802	1673
324	804	1671
325	807	1669
326	810	1667
327	812	1665
328	815	1662
329	817	1660
330	820	1657
331	822	1655
332	825	1653
333	827	1650
334	830	1648
335	833	1646
336	835	1644
337	838	1642
338	841	1639
339	843	1637
340	846	1635
341	848	1633
342	851	1631
343	854	1628
344	856	1626
345	859	1624
346	862	1622
347	864	1620
348	867	1617
349	869	1615
350	872	1613
351	875	1611
352	877	1608
353	880	1606
354	882	1603
355	885	1601
356	887	1599
357	890	1596
358	893	1594
359	895	1592
360	898	1590
361	900	1587
362	903	1585
363	905	1582
364	908	1580
365	911	1578
366	913	1576
367	916	1574
368	919	1572
369	921	1569
370	924	1567
371	927	1565
372	929	1563
373	932	1560
374	935	1558
375	937	1556
376	940	1554
377	943	1552
378	945	1549
379	948	1547
380	950	1544
381	953	1541
382	955	1539
383	958	1537
384	960	1534
385	963	1532
386	966	1530
387	968	1528
388	972	1526
389	975	1525
390	977	1522
391	980	1520
392	982	1517
393	985	1515
394	988	1513
395	990	1511
396	993	1509
397	996	1507
398	999	1504
399	1001	1502
400	1004	1500
401	1007	1498
402	1009	1496
403	1012	1493
404	1015	1491
405	1017	1489
406	1020	1486
407	1023	1484
408	1025	1482
409	1028	1479
410	1030	1477
411	1033	1475
412	1036	1472
413	1038	1470
414	1041	1467
415	1044	1465
416	1046	1463
417	1049	1460
418	1051	1458
419	1054	1455
420	1056	1453
421	1059	1451
422	1061	1448
423	1064	1445
424	1066	1443
425	1069	1440
426	1072	1438
427	1074	1436
428	1077	1434
429	1080	1431
430	1082	1429
431	1085	1427
432	1088	1424
433	1090	1422
434	1093	1419
435	1095	1417
436	1098	1415
437	1101	1413
438	1104	1411
439	1106	1408
440	1109	1406
441	1112	1404
442	1115	1402
443	1117	1399
444	1120	1397
445	1123	1395
446	1125	1392
447	1128	1390
448	1131	1388
449	1133	1385
450	1136	1383
451	1138	1380
452	1141	1378
453	1143	1375
454	1146	1373
455	1149	1371
456	1151	1368
457	1154	1366
458	1157	1364
459	1160	1362
460	1163	1359
461	1165	1357
462	1168	1355
463	1171	1353
464	1174	1350
465	1176	1348
466	1179	1345
467	1181	1343
468	1184	1340
469	1187	1338
470	1189	1336
471	1192	1333
472	1195	1331
473	1198	1329
474	1200	1327
475	1203	1324
476	1206	1322
477	1208	1319
478	1211	1317
479	1214	1315
480	1216	1312
481	1219	1310
482	1221	1307
483	1224	1305
484	1227	1302
485	1229	1300
486	1232	1298
487	1235	1295
488	1237	1293
489	1240	1290
490	1242	1288
491	1245	1285
492	1247	1283
493	1250	1280
494	1253	1278
495	1255	1275
496	1258	1273
497	1260	1271
498	1263	1268
499	1266	1266
500	1268	1263
501	1271	1261
502	1274	1258
503	1276	1256
504	1279	1254
505	1282	1251
506	1284	1249
507	1287	1246
508	1289	1244
509	1292	1241
510	1295	1239
511	1298	1237
512	1300	1234
513	1303	1232
514	1305	1229
515	1308	1227
516	1311	1224
517	1313	1222
518	1316	1220
519	1318	1217
520	1321	1214
521	1323	1212
522	1326	1209
523	1329	1207
524	1331	1205
525	1334	1202
526	1337	1200
527	1339	1197
528	1342	1195
529	1345	1192
530	1347	1190
531	1350	1188
532	1353	1185
533	1355	1182
534	1358	1180
535	1361	1178
536	1363	1176
537	1367	1173
538	1369	1171
539	1372	1169
540	1375	1166
541	1377	1164
542	1380	1161
543	1382	1159
544	1385	1156
545	1388	1154
546	1391	1151
547	1393	1149
548	1396	1147
549	1399	1144
550	1401	1142
551	1404	1140
552	1407	1137
553	1410	1135
554	1412	1132
555	1415	1130
556	1418	1127
557	1421	1125
558	1423	1123
559	1426	1120
560	1429	1118
561	1432	1116
562	1434	1113
563	1437	1111
564	1440	1108
565	1442	1106
566	1445	1103
567	1448	1101
568	1451	1099
569	1453	1096
570	1456	1094
571	1458	1091
572	1461	1089
573	1464	1086
574	1466	1083
575	1469	1081
576	1471	1079
577	1474	1076
578	1477	1074
579	1479	1071
580	1482	1069
581	1485	1066
582	1487	1064
583	1490	1061
584	1493	1059
585	1495	1056
586	1498	1054
587	1501	1052
588	1504	1049
589	1506	1047
590	1509	1044
591	1512	1042
592	1514	1039
593	1517	1037
594	1520	1034
595	1522	1032
596	1524	1029
597	1527	1026
598	1530	1024
599	1533	1022
600	1535	1019
601	1538	1017
602	1541	1014
603	1543	1012
604	1546	1009
605	1549	1007
606	1551	1004
607	1554	1002
608	1556	999
609	1560	997
610	1562	995
611	1565	992
612	1568	989
613	1570	987
614	1573	984
615	1575	982
616	1578	979
617	1581	977
618	1584	974
619	1586	972
620	1589	969
621	1591	967
622	1594	964
623	1597	962
624	1599	959
625	1602	957
626	1605	954
627	1607	952
628	1610	949
629	1613	947
630	1616	945
631	1619	942
632	1621	940
633	1624	937
634	1627	935
635	1629	932
636	1632	930
637	1635	927
638	1637	925
639	1640	922
640	1643	920
641	1645	917
642	1648	915
643	1651	912
644	1653	910
645	1656	907
646	1659	905
647	1661	902
648	1664	900
649	1666	897
650	1669	895
651	1672	892
652	1674	889
653	1677	887
654	1680	885
655	1683	882
656	1686	880
657	1688	877
658	1691	875
659	1694	872
660	1696	870
661	1699	867
662	1701	865
663	1704	862
664	1707	860
665	1709	857
666	1712	855
667	1715	852
668	1717	849
669	1720	847
670	1723	845
671	1726	842
672	1729	840
673	1731	837
674	1734	835
675	1737	832
676	1740	830
677	1742	827
678	1745	825
679	1748	822
680	1751	820
681	1754	818
682	1757	815
683	1759	813
684	1762	810
685	1765	807
686	1767	805
687	1771	803
688	1773	800
689	1776	798
690	1779	795
691	1781	792
692	1784	790
693	1787	787
694	1789	785
695	1792	782
696	1795	780
697	1797	777
698	1800	775
699	1803	772
700	1806	770
701	1808	767
702	1811	765
703	1814	762
704	1816	760
705	1819	757
706	1822	755
707	1824	752
708	1827	750
709	1830	747
710	1832	745
711	1835	742
712	1838	740
713	1841	737
714	1843	734
715	1846	732
716	1849	730
717	1852	727
718	1855	725
719	1858	722
720	1861	720
721	1863	717
722	1866	715
723	1869	712
724	1871	709
725	1874	707
726	1877	704
727	1879	702
728	1882	699
729	1884	697
730	1887	694
731	1890	692
732	1893	689
733	1895	686
734	1898	684
735	1901	681
736	1903	679
737	1906	676
738	1908	674
739	1911	671
740	1914	669
741	1916	666
742	1919	663
743	1921	661
744	1924	658
745	1927	656
746	1929	653
747	1932	651
748	1934	648
749	1937	645
750	1939	643
751	1942	640
752	1945	638
753	1947	635
754	1950	633
755	1953	630
756	1956	627
757	1958	625
758	1961	622
759	1964	620
760	1966	617
761	1969	615
762	1972	612
763	1974	609
764	1977	607
765	1979	604
766	1982	602
767	1985	599
768	1987	597
769	1990	594
770	1993	591
771	1995	589
772	1998	586
773	2000	584
774	2003	581
775	2005	579
776	2008	576
777	2011	573
778	2014	571
779	2016	568
780	2019	566
781	2022	563
782	2024	561
783	2027	558
784	2030	556
785	2033	553
786	2035	550
787	2038	548
788	2041	545
789	2043	543
790	2046	540
